frame     start count    union count    avg       max union      end count      CountR    MinR      MaxR      CountL    MinL      MaxL      CountC    MinC      MaxC      

1         68             26             2.62      3              42             9         25.55     96.8      8         20.25     320.37    25        22.0      81.22     
2         70             26             2.69      3              44             8         20.81     58.01     11        38.01     297.06    25        20.0      99.01     
3         82             33             2.48      3              49             16        20.0      75.17     6         29.15     201.1     27        21.0      87.0      
4         84             33             2.55      3              51             16        20.81     104.85    11        24.41     383.64    24        20.02     67.01     
5         119            43             2.77      3              76             30        20.25     105.68    19        20.25     223.08    27        21.02     88.0      
6         107            34             3.15      3              73             21        22.02     107.62    18        21.21     225.29    34        21.0      92.02     
7         97             42             2.31      3              55             15        21.95     77.34     14        22.2      254.7     26        21.02     85.0      
8         119            47             2.53      4              72             27        20.25     122.8     17        21.1      247.49    28        20.0      81.22     
9         130            44             2.95      2              86             33        20.0      134.54    17        20.0      150.88    36        20.0      88.0      
10        127            48             2.65      3              79             40        20.0      91.81     13        23.85     289.85    26        20.0      68.0      
11        122            38             3.21      4              84             36        20.0      114.55    15        20.0      323.39    33        20.02     103.0     
12        177            58             3.05      3              119            61        20.0      110.31    19        21.63     292.77    39        21.02     85.0      
13        153            56             2.73      3              97             39        20.25     107.48    17        24.04     194.44    41        21.02     115.0     
14        148            51             2.9       3              97             41        20.0      127.86    13        24.7      239.91    43        20.02     87.0      
15        162            51             3.18      3              111            41        20.25     95.21     26        20.0      105.12    44        20.0      94.0      
16        153            61             2.51      6              92             29        20.25     110.31    27        20.25     188.61    36        20.02     87.0      
17        168            62             2.71      4              106            42        20.0      105.89    21        20.59     111.02    43        20.02     103.0     
18        172            52             3.31      3              120            44        20.25     140.13    29        21.93     334.21    47        20.0      102.0     
19        198            74             2.68      4              124            41        20.0      127.26    31        20.25     224.02    52        20.0      103.0     
20        157            55             2.85      3              102            29        20.25     111.87    33        20.62     252.03    40        20.02     105.0     
21        149            53             2.81      3              96             34        20.81     119.57    22        20.0      223.43    40        21.0      97.0      
22        165            62             2.66      3              103            39        20.0      113.14    21        20.0      187.8     43        20.02     96.0      
23        170            56             3.04      4              114            42        20.12     156.16    32        20.25     164.61    40        20.0      105.0     
24        169            59             2.86      4              110            36        20.25     143.39    32        23.6      174.61    42        20.02     109.17    
25        165            61             2.7       5              104            40        20.0      149.77    19        25.55     176.4     45        20.02     101.0     
26        155            61             2.54      4              94             38        20.25     89.1      26        21.63     159.2     30        20.02     101.0     
27        160            57             2.81      3              103            35        20.52     87.46     27        21.21     184.01    41        22.0      106.0     
28        160            61             2.62      3              99             44        20.0      110.45    22        21.21     218.9     33        20.02     109.0     
29        165            60             2.75      3              105            37        20.25     94.87     30        21.21     172.8     38        22.0      97.0      
30        129            45             2.87      5              84             30        21.95     65.86     20        24.7      143.06    34        20.0      108.0     
31        175            59             2.97      7              116            45        20.52     75.29     29        20.52     134.03    42        20.02     113.28    
32        163            59             2.76      5              104            30        20.81     53.81     30        20.52     151.82    44        20.0      137.18    
33        162            49             3.31      3              113            37        20.81     74.06     36        21.21     181.82    40        20.4      104.0     
34        169            65             2.6       3              104            37        20.25     80.16     25        21.95     170.42    42        21.0      113.07    
35        172            66             2.61      5              106            32        20.25     123.81    29        20.0      138.22    45        21.02     101.0     
36        149            51             2.92      2              98             29        20.81     48.33     30        20.25     179.91    39        20.0      113.44    
37        167            66             2.53      3              101            30        20.81     78.82     32        20.59     170.86    39        21.0      107.0     
38        176            62             2.84      3              114            44        21.1      113.81    30        20.52     102.07    40        22.02     111.0     
39        162            51             3.18      4              111            39        20.25     131.47    30        20.62     136.82    42        20.62     106.0     
40        156            55             2.84      4              101            33        20.0      59.36     22        21.21     103.86    46        22.0      105.0     
41        160            60             2.67      4              100            32        21.4      75.6      27        21.95     168.6     41        21.0      100.0     
42        163            58             2.81      3              105            28        20.25     58.52     33        20.12     94.85     44        21.21     114.0     
43        182            65             2.8       5              117            32        20.0      62.97     39        21.93     149.34    46        20.0      109.0     
44        178            60             2.97      3              118            40        20.62     63.64     32        21.21     137.97    46        20.02     115.0     
45        185            65             2.85      3              120            35        20.12     65.19     36        20.0      147.43    49        22.02     96.0      
46        171            59             2.9       3              112            48        20.0      78.87     24        21.26     113.9     40        21.02     116.0     
47        170            60             2.83      4              110            44        20.25     62.8      25        20.62     119.67    41        23.09     116.0     
48        162            53             3.06      4              109            42        20.52     67.12     30        20.25     124.63    37        20.02     118.0     
49        166            53             3.13      4              113            39        20.25     67.12     34        20.25     113.28    40        20.0      116.0     
50        161            65             2.48      4              96             37        20.81     74.03     20        20.0      116.39    39        20.02     109.0     
51        165            58             2.84      4              107            36        20.25     71.28     34        20.52     98.86     37        20.02     117.0     
52        148            51             2.9       3              97             30        20.25     57.69     25        22.83     241.5     42        20.0      120.0     
53        162            52             3.12      2              110            39        20.0      74.95     28        20.81     143.75    43        21.02     119.0     
54        177            54             3.28      3              123            44        20.52     130.6     34        20.12     143.75    45        20.02     120.0     
55        173            63             2.75      4              110            37        20.52     88.84     31        21.1      124.08    42        20.02     76.0      
56        172            65             2.65      4              107            29        21.21     75.17     37        20.52     134.06    41        21.02     113.0     
57        163            55             2.96      3              108            36        20.0      79.4      31        22.2      82.02     41        20.0      113.0     
58        171            53             3.23      3              118            49        20.12     50.61     27        20.52     103.59    42        20.62     121.0     
59        178            56             3.18      3              122            51        20.25     62.37     30        20.12     161.72    41        20.0      119.0     
60        175            62             2.82      4              113            39        20.62     73.25     27        20.52     131.73    47        20.0      122.0     
61        170            61             2.79      4              109            42        20.12     91.83     25        22.85     106.22    42        20.0      119.0     
62        190            72             2.64      4              118            48        20.25     76.37     29        20.0      203.22    41        20.0      126.0     
63        190            67             2.84      5              123            51        20.12     80.28     26        21.4      116.97    46        20.0      124.0     
64        175            54             3.24      2              121            42        20.0      62.29     35        20.62     115.43    44        20.0      124.0     
65        198            68             2.91      3              130            48        20.0      57.8      34        20.59     192.59    48        20.02     127.0     
66        176            58             3.03      3              118            48        20.0      57.98     33        21.21     175.73    37        20.0      109.0     
67        194            76             2.55      6              118            46        20.0      101.67    32        21.4      121.62    40        20.0      149.27    
68        179            55             3.25      3              124            51        20.25     84.86     33        20.52     110.45    40        20.62     124.78    
69        167            57             2.93      4              110            44        20.0      56.57     27        20.52     114.74    39        20.0      119.0     
70        189            64             2.95      5              125            51        20.25     76.54     28        20.25     129.56    46        20.0      129.0     
71        189            66             2.86      3              123            49        20.25     77.52     29        20.25     137.18    45        20.0      110.45    
72        171            54             3.17      4              117            49        20.52     61.61     34        20.25     117.52    34        21.1      130.0     
73        189            68             2.78      4              121            54        20.25     57.63     29        20.25     190.14    38        20.0      111.45    
74        163            46             3.54      3              117            44        20.0      67.88     38        21.26     94.18     35        20.02     130.0     
75        161            52             3.1       3              109            40        20.0      62.97     27        20.52     106.89    42        22.0      120.0     
76        157            59             2.66      4              98             30        21.26     51.61     28        21.21     98.31     40        21.02     168.86    
77        184            60             3.07      3              124            33        20.25     67.27     47        20.52     110.45    44        20.02     103.0     
78        165            44             3.75      3              121            47        20.25     73.93     30        20.52     120.93    44        20.0      103.0     
79        166            57             2.91      4              109            35        20.62     60.83     33        20.62     108.58    41        22.0      104.0     
80        193            63             3.06      4              130            48        20.0      72.25     44        20.25     162.63    38        21.0      117.0     
81        162            55             2.95      3              107            32        20.0      56.85     34        21.1      56.85     41        22.0      113.0     
82        194            69             2.81      3              125            37        20.25     63.51     46        20.25     94.37     42        20.02     139.0     
83        177            57             3.11      3              120            32        21.1      107.63    45        20.0      138.19    43        20.0      117.0     
84        153            44             3.48      2              109            33        21.1      47.71     33        20.81     94.18     43        20.0      118.21    
85        166            55             3.02      4              111            35        22.8      60.81     33        20.52     96.17     43        20.0      138.0     
86        171            55             3.11      3              116            35        20.0      53.74     39        20.25     93.35     42        20.0      98.0      
87        161            43             3.74      5              118            29        20.25     66.61     49        20.0      95.21     40        20.02     144.0     
88        156            40             3.9       3              116            31        21.1      50.91     43        20.25     125.87    42        20.02     121.0     
89        151            40             3.77      2              111            32        20.52     70.21     38        20.25     107.0     41        20.22     129.0     
90        130            40             3.25      4              90             21        21.63     60.44     36        21.1      106.79    33        21.0      145.0     
91        126            33             3.82      2              93             17        20.81     63.82     35        20.25     183.93    41        21.0      124.0     
92        161            46             3.5       3              115            29        20.52     73.01     38        20.52     130.1     48        20.0      124.0     
93        143            41             3.49      3              102            22        20.0      74.4      43        21.26     157.95    37        23.0      122.0     
94        146            46             3.17      3              100            23        20.52     68.01     43        20.81     144.81    34        20.0      113.0     
95        149            42             3.55      3              107            29        20.25     38.28     35        20.0      139.52    43        21.0      102.0     
96        162            51             3.18      4              111            33        21.21     73.54     42        20.0      69.3      36        20.02     120.0     
97        157            43             3.65      3              114            34        20.25     112.41    40        20.25     125.26    40        20.0      120.0     
98        157            41             3.83      2              116            38        20.0      73.82     35        20.81     82.13     43        20.0      134.13    
99        166            51             3.25      3              115            31        20.25     75.8      42        20.25     118.83    42        20.02     106.0     
100       153            44             3.48      3              109            26        20.25     41.68     39        20.62     147.25    44        20.02     129.1     
101       158            49             3.22      4              109            38        20.25     74.25     38        20.52     184.04    33        20.02     118.11    
102       138            38             3.63      3              100            33        20.25     79.2      32        20.25     128.97    35        20.22     106.0     
103       150            45             3.33      3              105            36        20.0      77.78     28        20.25     112.29    41        20.02     122.04    
104       170            48             3.54      3              122            31        20.25     73.01     46        20.0      138.29    45        20.02     108.17    
105       158            48             3.29      3              110            40        20.25     73.82     33        20.59     141.5     37        20.02     97.19     
106       141            35             4.03      2              106            25        20.62     65.05     34        20.62     128.22    47        20.02     107.0     
107       151            39             3.87      2              112            31        20.25     76.37     41        20.52     152.27    40        22.0      115.0     
108       174            51             3.41      3              123            33        20.81     82.33     47        20.0      118.44    43        20.02     142.0     
109       135            41             3.29      3              94             29        20.0      69.3      31        21.21     169.2     34        20.02     126.0     
110       153            46             3.33      2              107            28        20.62     80.61     31        20.0      123.11    48        20.0      113.0     
111       152            48             3.17      3              104            35        20.0      71.51     31        22.85     91.44     38        22.0      148.0     
112       151            44             3.43      3              107            27        20.0      87.78     34        21.21     97.01     46        20.0      127.0     
113       132            32             4.12      3              100            26        20.52     80.21     33        21.21     176.69    41        20.02     103.0     
114       148            43             3.44      3              105            26        20.0      73.01     38        21.1      93.72     41        20.0      130.0     
115       148            48             3.08      4              100            24        20.52     97.74     29        20.0      175.29    47        21.0      138.0     
116       134            44             3.05      3              90             24        21.1      71.61     27        20.0      167.48    39        20.02     121.0     
117       143            38             3.76      3              105            32        20.81     90.51     30        20.0      104.74    43        20.02     99.13     
118       118            32             3.69      3              86             21        20.62     68.01     27        20.25     140.09    38        21.0      139.0     
119       147            47             3.13      5              100            28        21.21     66.61     30        20.52     130.3     42        20.02     107.0     
120       130            37             3.51      3              93             29        20.25     66.84     25        20.81     146.75    39        20.02     137.0     
121       152            47             3.23      3              105            28        25.0      63.03     32        20.0      89.83     45        20.0      137.0     
122       141            37             3.81      2              104            31        20.0      79.4      33        21.21     104.8     40        20.02     132.0     
123       142            40             3.55      3              102            23        21.95     81.61     34        20.52     158.52    45        21.02     120.0     
124       153            48             3.19      3              105            32        21.54     114.63    32        20.52     168.44    41        20.02     114.02    
125       148            45             3.29      3              103            26        20.81     86.27     29        20.25     126.51    48        20.0      149.0     
126       140            45             3.11      3              95             23        20.25     76.37     35        20.12     252.88    37        22.0      127.0     
